series_episode,episode_name,air_date
53,Dream'n of Redeem'n,7/20/2010 0:00
560,$50 000 Champs Challenge: Grand Finale,2/18/2020 0:00
556,$50 000 Champs Challenge: Part 1,1/21/2020 0:00
557,$50 000 Champs Challenge: Part 2,1/28/2020 0:00
558,$50 000 Champs Challenge: Part 3,2/4/2020 0:00
559,$50 000 Champs Challenge: Part 4,2/11/2020 0:00
60,$50 000 Tournament: Grand Finale,9/28/2010 0:00
59,$50 000 Tournament: Round Four,9/21/2010 0:00
56,$50 000 Tournament: Round One,8/31/2010 0:00
58,$50 000 Tournament: Round Three,9/14/2010 0:00
57,$50 000 Tournament: Round Two,9/7/2010 0:00
146,A Bunny Thing Happened,9/11/2012 0:00
317,A Chopped Halloween,10/6/2015 0:00
199,A Chopped Thanksgiving,11/12/2013 0:00
76,A Cornish Mess,4/10/2011 0:00
460,A Frog Leg Up,4/17/2018 0:00
137,A Guts Reaction,6/12/2012 0:00
93,A is for Apple. U is for Udon,8/16/2011 0:00
30,A Nori Story,11/3/2009 0:00
554,A Pretty Pickle Pizza,3/10/2020 0:00
14,A Prickly Situation,6/14/2009 0:00
535,A Very Brady Chopped,8/27/2019 0:00
133,A Very Piggy Halloween,10/16/2012 0:00
21,A Wish Upon A Starfruit,8/11/2009 0:00
38,Against the Tide,4/19/2010 0:00
295,All Stars Tournament: Grand Finale,5/26/2015 0:00
291,All Stars Tournament: Part 1,4/28/2015 0:00
292,All Stars Tournament: Part 2,5/5/2015 0:00
293,All Stars Tournament: Part 3,5/12/2015 0:00
294,All Stars Tournament: Part 4,5/19/2015 0:00
140,All-American Competition,7/3/2012 0:00
220,All-Burger Meal!,2/9/2014 0:00
75,All-Stars Tournament: Grand Finale,4/3/2011 0:00
74,All-Stars Tournament: Round Four - Chopped Judges,3/27/2011 0:00
71,All-Stars Tournament: Round One - Competitors  The Next Food Network Star,3/6/2011 0:00
73,All-Stars Tournament: Round Three - Notable Chefs,3/20/2011 0:00
72,All-Stars Tournament: Round Two - Food Network Personalities,3/13/2011 0:00
119,All-Stars: Food Network Star Contestants,4/22/2012 0:00
121,All-Stars: Grand Finale,5/6/2012 0:00
117,All-Stars: Iron Chefs Do Battle,4/8/2012 0:00
120,All-Stars: Judge Remix,4/29/2012 0:00
118,All-Stars: Prime Time vs. Day Time,4/15/2012 0:00
424,Alton's Challenge  Grand Finale,11/7/2017 0:00
420,Alton's Challenge  Part 1,10/10/2017 0:00
421,Alton's Challenge  Part 2,10/17/2017 0:00
422,Alton's Challenge  Part 3,10/24/2017 0:00
423,Alton's Challenge  Part 4,10/31/2017 0:00
285,Amateurs Redemption,3/17/2015 0:00
273,Amateurs' Brawl,4/7/2015 0:00
179,Amazing Amateurs,5/14/2013 0:00
226,Ambitious Amateurs,2/4/2014 0:00
442,Amped for Ramps,12/26/2017 0:00
225,An Egg Up,5/13/2014 0:00
436,An Iron Chef Thanksgiving,11/14/2017 0:00
411,An Ugly Turn,5/30/2017 0:00
176,Aussie Awesome,4/16/2013 0:00
3,Avocado  Tahini  Bran Flakes,1/27/2009 0:00
527,B.L.D: Breakfast  Lunch  and Dinner!,1/28/2020 0:00
383,Back in Time,11/24/2016 0:00
513,Bacon  Burgers and Beer!,5/21/2019 0:00
222,Bacon Baskets!,2/16/2014 0:00
330,Bacon Boys,2/7/2016 0:00
4,Banana  Collard Greens  Grits,2/3/2009 0:00
418,Bangin' Backyard Cookout,7/4/2017 0:00
477,Bar Fight,1/1/2019 0:00
390,Basket Buzz,12/27/2016 0:00
381,Battle of the Butchers,11/17/2016 0:00
324,Battle of the Grandpas,12/17/2015 0:00
476,Beach Bites,7/24/2018 0:00
382,Beast Feast,11/22/2016 0:00
532,Beef Cake Mistake,7/30/2019 0:00
469,Beer and Brats,2/26/2019 0:00
223,Beer Here!,2/23/2014 0:00
335,Beg  Borrow or Eel,3/8/2016 0:00
142,Belly Dance!,7/31/2012 0:00
494,Belly of the Beast,4/30/2019 0:00
157,Belly Up,1/1/2013 0:00
366,Best Halloween Ever,10/3/2016 0:00
404,Best Laid Pans,3/21/2017 0:00
445,Better Duck Next Time,12/12/2017 0:00
183,Better Saffron Than Sorry,6/4/2013 0:00
388,Betting on the Farm,12/15/2016 0:00
290,Big Barbecue Bout,6/16/2015 0:00
191,Big Fish  Small Basket,6/27/2013 0:00
246,Big Hitters,10/8/2014 0:00
154,Bird in the Pan,11/27/2012 0:00
84,Bite Your Pickled Beef Tongue,6/14/2011 0:00
270,Bizarre Baskets,1/20/2015 0:00
312,Bizarre Battle,10/8/2015 0:00
106,Blood Orange Sorbet  Sweat  & Tears,11/8/2011 0:00
398,Blue Plate Fate,2/14/2017 0:00
473,Bowled Over,6/12/2018 0:00
536,Brady Bunch Bash,9/3/2019 0:00
195,Break a Crab Leg!,7/30/2013 0:00
180,Breakfast  Lunch and Dinner!,5/21/2013 0:00
487,Breakfast Battle,12/18/2018 0:00
327,Brunch Battle,1/19/2016 0:00
207,Brunch Boxes,10/15/2013 0:00
495,Brunch Brilliance,5/7/2019 0:00
22,Buckwheat Blunders and Twists of Fate,8/25/2009 0:00
224,Burn for the Worse,4/7/2014 0:00
143,Cake Walk?,8/7/2012 0:00
96,Can't Catch Me  I'm the Gingerbread Lobster!,12/6/2011 0:00
79,Canned Cheese  Please!,5/10/2011 0:00
6,Canned Peaches  Rice Cakes  Beets,2/17/2009 0:00
567,Cauliflower Power,7/21/2020 0:00
394,Celebrating Veterans,1/17/2017 0:00
212,Celebrity Holiday Bash,12/3/2013 0:00
101,Champions' Tournament: Grand Finale,9/27/2011 0:00
97,Champions' Tournament: Part 1,8/30/2011 0:00
98,Champions' Tournament: Part 2,9/6/2011 0:00
99,Champions' Tournament: Part 3,9/13/2011 0:00
100,Champions' Tournament: Part 4,9/20/2011 0:00
91,Chard & True,8/2/2011 0:00
147,Charge!,10/9/2012 0:00
377,Chaudin Chow (aka Hearty Party),11/1/2016 0:00
379,Cheap Eats,11/8/2016 0:00
399,Chefs in a Pickle,2/21/2017 0:00
77,Chefs on a Mission,4/26/2011 0:00
124,Chewing the Caul Fat,2/14/2012 0:00
468,Chicken Challenge,2/19/2019 0:00
355,Chili Cook-Off,8/21/2016 0:00
328,Chinese New Year,1/26/2016 0:00
561,Chock-full of Chocolate,3/24/2020 0:00
451,Chocolate  Chocolate  Chocolate!,2/13/2018 0:00
12,Chocolate  Mussels and Figs,3/31/2009 0:00
138,Chocolate Challenge,6/19/2012 0:00
221,Chocolate Competition,2/11/2014 0:00
397,Chocolate Obsession,2/7/2017 0:00
282,Chocolate Rush!,2/10/2015 0:00
111,Chop on Through,1/3/2012 0:00
280,Chopped Again!,1/27/2015 0:00
172,Chopped All-Stars: Celebrities,4/28/2013 0:00
173,Chopped All-Stars: Finale!,5/5/2013 0:00
169,Chopped All-Stars: Food Network vs. Cooking Channel,4/7/2013 0:00
171,Chopped All-Stars: Judges,4/21/2013 0:00
170,Chopped All-Stars: Mega Chefs,4/14/2013 0:00
318,Chopped Catwalk,10/15/2015 0:00
26,Chopped Champions Event  Round Four: Bring It!,9/29/2009 0:00
23,Chopped Champions Event  Round One: The Ultimate Face-off,9/8/2009 0:00
25,Chopped Champions Event  Round Three: All-Stars Showdown,9/22/2009 0:00
24,Chopped Champions Event  Round Two: Best of the Best,9/15/2009 0:00
338,Chopped Champions: Battle 1  Best of the Best,3/29/2016 0:00
339,Chopped Champions: Battle 2  Fighting Shape,4/5/2016 0:00
340,Chopped Champions: Battle 3  Chefs in Control,4/12/2016 0:00
341,Chopped Champions: Battle 4  Kitchen Storm,4/19/2016 0:00
342,Chopped Champions: Conclusion  $50 000 Pay Day,4/26/2016 0:00
166,Chopped Champions: Finale,2/12/2013 0:00
162,Chopped Champions: Part 1,1/15/2013 0:00
163,Chopped Champions: Part 2,1/22/2013 0:00
164,Chopped Champions: Part 3,1/29/2013 0:00
165,Chopped Champions: Part 4,2/5/2013 0:00
500,Chopped Champs Throwdown: Battle 1,10/9/2018 0:00
501,Chopped Champs Throwdown: Battle 2,10/16/2018 0:00
502,Chopped Champs Throwdown: Battle 3,10/23/2018 0:00
503,Chopped Champs Throwdown: Battle 4,10/30/2018 0:00
504,Chopped Champs Throwdown: Finale,11/6/2018 0:00
250,Chopped Chops,11/18/2014 0:00
321,Chopped Desserts!,11/23/2015 0:00
197,Chopped Family Feud,8/11/2013 0:00
266,Chopped Family Thanksgiving,11/11/2014 0:00
302,Chopped Gastropub,11/26/2015 0:00
439,Chopped Grand Holiday,12/5/2017 0:00
39,Chopped Liver,5/2/2010 0:00
232,Chopped Tournament of Stars: Actors,3/30/2014 0:00
231,Chopped Tournament of Stars: Comedians!,3/23/2014 0:00
233,Chopped Tournament of Stars: Finale,4/6/2014 0:00
229,Chopped Tournament of Stars: Sports Stars!,3/9/2014 0:00
526,Chopped U,1/14/2020 0:00
380,Chopped: Beat Bobby Flay  Finale,11/10/2016 0:00
374,Chopped: Beat Bobby Flay  Part 1,10/20/2016 0:00
376,Chopped: Beat Bobby Flay  Part 2,10/27/2016 0:00
378,Chopped: Beat Bobby Flay  Part 3,11/3/2016 0:00
336,Chopped: College,3/15/2016 0:00
348,Chopping Block Blues,6/7/2016 0:00
135,Chopping in a Winter Wonderland,11/25/2012 0:00
343,Cinco de Mayo Fiesta,5/3/2016 0:00
208,Circus Spectacular,10/24/2013 0:00
425,Clam Clash,7/18/2017 0:00
529,Clambake Stakes,2/18/2020 0:00
150,Class Acts  Too,9/25/2012 0:00
107,Class Acts,11/22/2011 0:00
392,Clean Eatin',1/3/2017 0:00
188,Cleaver Fever,6/11/2013 0:00
211,Cloche Call,11/19/2013 0:00
426,Clock Shock,7/25/2017 0:00
441,Cocktail Party,12/19/2017 0:00
8,Coconut  Calamari  Donuts,3/3/2009 0:00
299,College Challenge,9/10/2015 0:00
429,Comfort Zone,9/19/2017 0:00
209,Competition Italiano,10/29/2013 0:00
182,Cook Your Butt Off!,5/30/2013 0:00
333,Cooking Caribbean,2/23/2016 0:00
315,Cooking with Bass,11/24/2015 0:00
236,Cool  Palm and Perfected,5/27/2014 0:00
64,Cornuchopia,11/16/2010 0:00
205,Count Your Chickens,9/24/2013 0:00
51,Crunch Time,7/6/2010 0:00
517,Culinary Fireworks,7/2/2019 0:00
347,Deadliest Baskets,5/31/2016 0:00
479,Deadly Catch,1/15/2019 0:00
483,Dill Dilemma,5/28/2019 0:00
444,Dim Sum Yum,3/6/2018 0:00
552,Dine On A Dime,12/17/2019 0:00
489,Dollar Dishes,3/26/2019 0:00
283,Double Trouble,3/3/2015 0:00
474,Doughnut Dash,6/19/2018 0:00
69,Doughs and Don'ts,1/25/2011 0:00
43,Dr. Deckle & Mr. Fried,4/27/2010 0:00
145,Drawing a Flank,8/21/2012 0:00
239,Dread and Breakfast,3/18/2014 0:00
109,Duck for Dinner,12/13/2011 0:00
88,Easy Peasy?,7/12/2011 0:00
496,Eat Your Veggies,5/14/2019 0:00
385,Entree Basket Blues,12/1/2016 0:00
533,Epic Burgers!,8/6/2019 0:00
453,Epic Eats,2/27/2018 0:00
437,Espresso Express,11/21/2017 0:00
278,Every 'Wich Way,12/16/2014 0:00
103,Everything's Rosy,10/11/2011 0:00
198,Extreme Halloween,10/6/2013 0:00
553,Eyes on the Prize,3/3/2020 0:00
274,Fabulous Baker Boys,4/21/2015 0:00
287,Fake Cake  Real Stakes,3/31/2015 0:00
323,Family Affair,12/15/2015 0:00
269,Family Food Fight,12/23/2014 0:00
112,Far Far Out!,1/10/2012 0:00
455,Fat Chance,3/27/2018 0:00
415,Father's Day,6/13/2017 0:00
432,Feel the Burn,10/19/2017 0:00
245,Fig Out,7/8/2014 0:00
497,Fire it Up!,7/17/2018 0:00
46,Fired Up!,6/1/2010 0:00
217,Firefighter Chefs,1/12/2014 0:00
288,First Responders,4/14/2015 0:00
45,First Things Worst,5/11/2010 0:00
434,Flavor Savor,11/2/2017 0:00
17,Floundering Around,6/30/2009 0:00
419,Flour Power,7/11/2017 0:00
33,Flower Power,3/14/2010 0:00
257,Food Truck Fight,8/19/2014 0:00
319,Food Truck Kitchen,10/27/2015 0:00
427,Food Truck Luck,9/5/2017 0:00
148,For Sake's Sake,11/20/2012 0:00
238,Four Fathers,6/10/2014 0:00
249,Frankly Frantic,11/4/2014 0:00
351,Fried Chicken Time,8/7/2016 0:00
63,Fright Bites,10/19/2010 0:00
113,Frozen Fries with That?,1/17/2012 0:00
187,Fry  Fry  Again,6/2/2013 0:00
522,Frying Times,3/31/2020 0:00
241,G'day  Chefs!,5/20/2014 0:00
396,Game Day Party,1/31/2017 0:00
511,Game On!,1/29/2019 0:00
482,Gefilte Dish,3/12/2019 0:00
83,Get it Together,6/7/2011 0:00
433,Gimme Gator,10/26/2017 0:00
543,Give it a Nest!,2/25/2020 0:00
95,Give It Your All,11/15/2011 0:00
85,Go For It!,6/21/2011 0:00
449,Gold Medal Games: Baking,1/23/2018 0:00
448,Gold Medal Games: Fast!,1/16/2018 0:00
446,Gold Medal Games: Frying,1/2/2018 0:00
450,Gold Medal Games: Grand Finale,1/30/2018 0:00
447,Gold Medal Games: Grilling,1/9/2018 0:00
125,Good Chop  Bad Chop?,2/21/2012 0:00
416,Got Your Goat?,6/20/2017 0:00
82,Gotta Grill!,5/31/2011 0:00
228,Grandma vs. Grandma,3/4/2014 0:00
414,Greater Tater,6/6/2017 0:00
50,Green Apps and Lamb,6/29/2010 0:00
413,Grill Game,5/23/2017 0:00
531,Grills On! Game On!,7/9/2019 0:00
122,Grilltastic!,5/29/2012 0:00
190,Gyro We Go Again,6/25/2013 0:00
499,Halloween Hijinks,10/2/2018 0:00
134,Happy Turkey Gizzards Day!,11/13/2012 0:00
248,Haricot Flair,10/28/2014 0:00
81,Have a Heart,5/24/2011 0:00
174,Heads Up!,4/2/2013 0:00
326,Healthy Rivalry,1/12/2016 0:00
158,Hecho en the Chopped Kitchen,2/7/2013 0:00
203,Hero Chefs,9/10/2013 0:00
16,High Hopes,6/23/2009 0:00
562,High on the Hog,5/26/2020 0:00
303,Holiday Cooking,12/8/2015 0:00
370,Holiday Reality Check,12/5/2016 0:00
550,Holiday Sugar and Spice,12/10/2019 0:00
549,Holiday Sweethearts,12/3/2019 0:00
507,Holly Jolly Grandmas,12/4/2018 0:00
515,Holy Bologna!,6/18/2019 0:00
218,Hoofin' It!,1/21/2014 0:00
544,Horror Flick Halloween,9/24/2019 0:00
534,Hot Dog Hot Shots,8/20/2019 0:00
353,Hot Doggin',8/14/2016 0:00
472,Hot Off the Grill!,5/22/2018 0:00
275,Hot Stuff,6/2/2015 0:00
509,Hotdog Hotshots,7/16/2019 0:00
345,Hungry for Love,5/17/2016 0:00
463,Hush Puppy Love,5/8/2018 0:00
123,I'm Your Huckleberry,2/7/2012 0:00
36,In A Pinch,4/5/2010 0:00
322,In-Laws  in Teams!,12/10/2015 0:00
508,It's a Sibling Thing,1/22/2019 0:00
566,Jarring Jars,7/7/2020 0:00
42,Jitters & Giant Eggs,4/20/2010 0:00
29,Judge Knows Best,10/27/2009 0:00
289,Judges' Face-Off,6/9/2015 0:00
11,Jumbo Shrimp  Pepperoncini  Cereal,3/24/2009 0:00
403,Jump for Bok Choy,5/2/2017 0:00
514,Just Add Cheese!,6/4/2019 0:00
167,Just for the Halibut,3/12/2013 0:00
49,Keep On Cook'n On,6/22/2010 0:00
201,Keep On Trucking,8/18/2013 0:00
364,Kefir and Loathing,9/22/2016 0:00
325,Knife Strife,1/5/2016 0:00
89,Ladies First!,7/19/2011 0:00
485,Lamb Slam,7/3/2018 0:00
272,Late Night Food Brawl,2/24/2015 0:00
402,Latin Cuisine Dream,3/14/2017 0:00
350,Leap of Faith,6/21/2016 0:00
462,Leftover Takeover,5/1/2018 0:00
126,Leftovers Extravaganza!,3/6/2012 0:00
161,Leftovers Overload,1/6/2013 0:00
240,Leftovers Rescue Mission,4/29/2014 0:00
286,Let's Do Lunch,3/24/2015 0:00
300,Light Makes Right,10/20/2015 0:00
555,Lighten Up!,5/19/2020 0:00
206,Liver and Learn,10/1/2013 0:00
331,Love Bites,2/9/2016 0:00
458,Luck of the Irish,3/13/2018 0:00
9,Mac & Cheese  Cola  Bacon,3/10/2009 0:00
316,Mac and Cheese,12/1/2015 0:00
104,Make A Splash!,10/25/2011 0:00
159,Make No Mistake,2/17/2013 0:00
443,Mardi Gras Goals,2/6/2018 0:00
68,Marrowly We Roll Along,1/18/2011 0:00
548,Meat Fight,11/26/2019 0:00
481,Meat Your Match,3/5/2019 0:00
267,Meatball Madness,12/2/2014 0:00
375,Midnight Snack Attack,10/25/2016 0:00
181,Military Salute,5/28/2013 0:00
320,Military Vets,11/10/2015 0:00
389,Million Dollar Baskets,12/22/2016 0:00
457,Million-Dollar Meals,6/5/2018 0:00
189,Mix and Mache,6/16/2013 0:00
193,Mochi Obliged,7/9/2013 0:00
178,Momumental,5/7/2013 0:00
264,Money Saver,1/13/2015 0:00
235,Mother's Day,5/6/2014 0:00
265,Mummies and Gummies,10/14/2014 0:00
44,Mussels Mastery & Cotton Candy Can-Do,5/4/2010 0:00
41,My Froggy Clementine,4/13/2010 0:00
92,My Way,8/9/2011 0:00
361,Naan the Wiser,9/15/2016 0:00
371,New Year's Bash,12/20/2016 0:00
551,New Year's Party,12/17/2019 0:00
151,No Kidding!,10/2/2012 0:00
545,No Meat? No Problem!,11/5/2019 0:00
213,No Pain  No Shame,11/26/2013 0:00
87,Nopales  No Problem,7/5/2011 0:00
478,Nourish and Flourish,1/8/2019 0:00
1,Octopus  Duck  Animal Crackers,1/13/2009 0:00
247,Offal Surprise,10/21/2014 0:00
28,Oh My Goshy  Umeboshi,10/20/2009 0:00
313,Oktoberfest!,10/13/2015 0:00
115,On the Line,1/31/2012 0:00
367,On the Quack Burner,10/6/2016 0:00
105,One in a Hundred,11/1/2011 0:00
395,Oodles of Noodles,1/24/2017 0:00
537,Ooey  Gooey Cheese!,9/10/2019 0:00
141,Orzo It Seemed,7/17/2012 0:00
144,Oui  Oui  Confit,8/14/2012 0:00
130,Own It!,4/17/2012 0:00
490,Pasta Possibilities,4/2/2019 0:00
234,Peri Peri Determined,4/22/2014 0:00
251,Pesto Chango,11/25/2014 0:00
435,Pie Jinks,11/9/2017 0:00
152,Pigging Out!,10/23/2012 0:00
219,Pizza Perfect,2/2/2014 0:00
488,Pizza Poetry,3/19/2019 0:00
127,Plenty of Fish,3/13/2012 0:00
516,Plum Fantastic,6/25/2019 0:00
471,Plum Luck,5/15/2018 0:00
20,Pods  Grills and Sticky Fingers,7/28/2009 0:00
530,Poke Power,6/2/2020 0:00
454,Pork on the Brain,3/20/2018 0:00
521,Poutine Cuisine,3/17/2020 0:00
19,Pretty Please with a Pepper on Top,7/14/2009 0:00
139,Pride of New Orleans,6/26/2012 0:00
18,Pride on the Plate,7/7/2009 0:00
67,Prove it on the Plate,1/11/2011 0:00
47,Quahog Quandaries and Pickle Puzzles,6/8/2010 0:00
7,Quail  Arctic Char  Beer,2/24/2009 0:00
568,Quail Without Fail,7/28/2020 0:00
40,Rattle & Roll,4/6/2010 0:00
400,Raw Deal,2/28/2017 0:00
37,Raw Enthusiasm,4/12/2010 0:00
129,Ready  Set  Escargot!,4/10/2012 0:00
332,Ready for Redemption,2/16/2016 0:00
271,Reality TV Stars,2/17/2015 0:00
210,Redeemed or Re-chopped?,11/5/2013 0:00
114,Redemption Competition,1/24/2012 0:00
168,Redemption Intention,3/19/2013 0:00
227,Return and Redeem,2/25/2014 0:00
132,Reversal of Fortune,5/8/2012 0:00
297,Rock Stars,8/18/2015 0:00
467,Rocky Mountain Masters,12/25/2018 0:00
475,Room for 'Shrooms,7/10/2018 0:00
52,Rowdy With a Chance of Meatballs,7/13/2010 0:00
242,Salt Pearls of Wisdom,6/17/2014 0:00
15,Salty Veggies & Heated Battles,6/16/2009 0:00
349,San Franchopco,6/14/2016 0:00
281,Say Cheese!,2/3/2015 0:00
80,Saying Sayonara,5/17/2011 0:00
277,Scoops On!,6/30/2015 0:00
32,Season's Choppings,12/8/2009 0:00
461,Sensational Sandwiches,4/24/2018 0:00
244,Short and Sweetbreads,7/1/2014 0:00
263,Short Order Cooks,9/30/2014 0:00
311,Sitcom Moms,9/29/2015 0:00
528,Smokin' Skills,2/4/2020 0:00
372,Smorgastarta Your Engines,10/13/2016 0:00
352,Snail Snafus,8/9/2016 0:00
417,Snap Pea to It!,6/27/2017 0:00
519,So Sumac Me!,8/13/2019 0:00
563,Soda Flop,6/16/2020 0:00
401,Something Dumpling,3/7/2017 0:00
128,Sound the Alarm!,3/20/2012 0:00
354,Souper Chefs,8/16/2016 0:00
431,Spooked,10/3/2017 0:00
202,Sports Stars,9/3/2013 0:00
61,Spouting Off,10/5/2010 0:00
492,Squab Goals,4/16/2019 0:00
55,Squashed,8/10/2010 0:00
149,Stacking Up,9/4/2012 0:00
406,Star Power: Culinary Muscle!,4/4/2017 0:00
409,Star Power: Grand Finale,4/25/2017 0:00
408,Star Power: Screen Sensations!,4/18/2017 0:00
407,Star Power: The Last Laugh!,4/11/2017 0:00
405,Star Power: Web Stars!,3/28/2017 0:00
70,Step Right Up!,2/1/2011 0:00
31,Sticking To It,11/10/2009 0:00
13,Strawberries  Turkey and Gummi Bears,4/7/2009 0:00
10,String Cheese  Jicama  Gingersnaps,3/17/2009 0:00
346,Summer Heat,5/24/2016 0:00
136,Sunny Side Apps,6/5/2012 0:00
464,Surf and Turf,5/29/2018 0:00
243,Swai Not?,6/24/2014 0:00
525,Sweet and Salty Success,1/7/2020 0:00
387,Sweet Heat,12/13/2016 0:00
34,Sweet Redemption,3/21/2010 0:00
90,Sweet Second Chance!,7/26/2011 0:00
194,Sweet Surprises,7/16/2013 0:00
365,Sweetbread Dread,9/29/2016 0:00
540,Sweets Showdown: Cake!,10/15/2019 0:00
538,Sweets Showdown: Chocolate!,10/1/2019 0:00
539,Sweets Showdown: Doughnuts!,10/8/2019 0:00
542,Sweets Showdown: Grand Finale!,10/29/2019 0:00
541,Sweets Showdown: Ice Cream!,10/22/2019 0:00
284,T.G.I. Fry-Day,3/10/2015 0:00
386,Taco Time!,12/8/2016 0:00
466,Tacos and Tequila,9/25/2018 0:00
301,Tailgate Fate,11/3/2015 0:00
373,Tailgate Greats,10/18/2016 0:00
329,Tailgate Party,2/2/2016 0:00
184,Take Heart,6/6/2013 0:00
518,Take the Cake,7/23/2019 0:00
215,Tapas Time,12/17/2013 0:00
506,Tea Eggs and Sympathy,11/27/2018 0:00
470,Team Ice Cream,6/11/2019 0:00
192,Teen Invasion,7/2/2013 0:00
310,Teen Redeem,9/24/2015 0:00
214,Teen Talent,12/10/2013 0:00
356,Teen Tournament: Battle 1,8/23/2016 0:00
357,Teen Tournament: Battle 2,8/30/2016 0:00
358,Teen Tournament: Battle 3,9/6/2016 0:00
360,Teen Tournament: Battle 4,9/13/2016 0:00
307,Teen Tournament: Episode Four,9/15/2015 0:00
304,Teen Tournament: Episode One,8/25/2015 0:00
306,Teen Tournament: Episode Three,9/8/2015 0:00
305,Teen Tournament: Episode Two,9/1/2015 0:00
362,Teen Tournament: Finale Fight,9/20/2016 0:00
256,Teen Tournament: Grand Finale,8/12/2014 0:00
309,Teen Tournament: Grand Finale,9/22/2015 0:00
255,Teen Tournament: Part Four,8/3/2014 0:00
252,Teen Tournament: Part One,7/15/2014 0:00
254,Teen Tournament: Part Three,7/29/2014 0:00
253,Teen Tournament: Part Two,7/22/2014 0:00
296,Tendon Intentions,7/7/2015 0:00
520,Tendon Loving Care,2/11/2020 0:00
564,Terrine Cuisine,6/23/2020 0:00
505,Thankful Siblings,11/13/2018 0:00
412,Thanks  Mom!,5/9/2017 0:00
546,Thanksgiving Champions,11/12/2019 0:00
547,Thanksgiving Heroes,11/19/2019 0:00
523,Thanksgiving Pie  Oh My!,11/20/2018 0:00
314,Thanksgiving Soup-er Stars,11/9/2015 0:00
430,The Beets Go On,9/26/2017 0:00
110,The Big Scoop,12/20/2011 0:00
337,The Bold and the Baconful,3/17/2016 0:00
268,The Holiday Kitchen,12/9/2014 0:00
78,The Icing on the Steak,5/3/2011 0:00
452,The Light Stuff,2/20/2018 0:00
410,The Newlywed Game,5/16/2017 0:00
237,There Will Be Bloody Marys,6/3/2014 0:00
484,Think Small!,6/26/2018 0:00
155,Thirsty for Victory,12/11/2012 0:00
512,Three Cheers for Chocolate!,2/5/2019 0:00
276,Thrill of the Grill,6/23/2015 0:00
86,Thyme Flies,6/28/2011 0:00
102,Time & Space,10/4/2011 0:00
565,Time and Turmoil,6/30/2020 0:00
2,Tofu  Blueberries  Oysters,1/20/2009 0:00
344,Tortellini Trials,5/10/2016 0:00
230,Tournament of Stars: Rachael vs. Guy!,3/16/2014 0:00
94,Trick or Treat  Chicken Feet!,10/16/2011 0:00
156,Trout Bout,12/18/2012 0:00
334,Truck Stop Stars,3/1/2016 0:00
440,True Grits,12/7/2017 0:00
48,Turbot Powered,6/15/2010 0:00
369,Turkey Day Heroes,11/14/2016 0:00
359,Twins for the Win,9/8/2016 0:00
259,Ultimate Champions: Amateur Champs,9/2/2014 0:00
261,Ultimate Champions: Celebrities,9/16/2014 0:00
262,Ultimate Champions: Grand Finale,9/23/2014 0:00
260,Ultimate Champions: Heroes,9/9/2014 0:00
258,Ultimate Champions: Professionals,8/26/2014 0:00
510,Ultimate Redemption,12/11/2018 0:00
465,Under the Cuban Sun,9/11/2018 0:00
153,Unsung Heroes,11/6/2012 0:00
160,Untrained  Undaunted,2/26/2013 0:00
66,Victory on the Brain,1/4/2011 0:00
175,Viewers Choice Baskets,4/9/2013 0:00
493,Viewers Rule,4/23/2019 0:00
308,Viewers' Baskets,9/17/2015 0:00
279,Viewers' Choice Ingredients,1/6/2015 0:00
116,Viewers' Choice!,4/3/2012 0:00
384,Viewers' Vengeance,11/29/2016 0:00
428,Waffles for the Win,9/12/2017 0:00
196,Walk on the Whelk Side,8/6/2013 0:00
216,Waste Not,1/5/2014 0:00
200,Wasted!,8/13/2013 0:00
204,We Love Leftovers!,9/17/2013 0:00
368,Web Stars,10/11/2016 0:00
524,Weird  Wacky  and Wild!,9/17/2019 0:00
438,Weird Twist,11/28/2017 0:00
486,Wellington Woes,9/18/2018 0:00
185,Wheatgrass Roots,6/18/2013 0:00
27,When Chefs Collide,10/13/2009 0:00
62,When Octopuses Attack,10/12/2010 0:00
393,Whiskey and Wings,1/10/2017 0:00
498,Whiz Kid Cooks,9/4/2018 0:00
459,Wild Game Plan,4/3/2018 0:00
298,Wild Ride,9/3/2015 0:00
391,Wild Times,12/29/2016 0:00
35,Winging It,3/28/2010 0:00
177,Without Missing a Beet,4/30/2013 0:00
54,Wok This Way,7/27/2010 0:00
480,Wonton Wonder,2/12/2019 0:00
363,Worst Cooks Challenge,9/27/2016 0:00
186,Wurst Case Scenario,7/23/2013 0:00
108,Yakety Yak  Yak  Yak,11/29/2011 0:00
65,Yes  Virginia  There is a Chopping Block,11/28/2010 0:00
456,You've Been Canned,4/10/2018 0:00
491,You've Got Snail,4/9/2019 0:00
5,Yucca  Watermelon  Tortillas,2/10/2009 0:00
131,Yuzu Never Know,5/1/2012 0:00
